CDU / CSU,SPD,GRÜNE,DIE LINKE,AfD,FDP,FREIE WÄHLER,PIRATEN,Tierschutzpartei,NPD,FAMILIE,ÖDP,Die PARTEI,Volksabstimmung,BP,DKP,MLPD,SGP,TIERSCHUTZ hier!,Tierschutzallianz,Bündnis C,BIG,BGE,DIE DIREKTE!,DiEM25,III. Weg,Die Grauen,DIE RECHTE,DIE VIOLETTEN,LIEBE,DIE FRAUEN,Graue Panther,LKR,MENSCHLICHE WELT,NL,ÖkoLinX,Die Humanisten,PARTEI FÜR DIE TIERE,Gesundheitsforschung,Volt
-1,1,1,1,-1,0,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,-1,1,0,-1
0,1,1,1,-1,-1,1,1,1,-1,0,1,1,-1,0,1,1,1,-1,1,-1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,0,1
1,1,-1,-1,-1,1,1,-1,0,-1,1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,-1,1,-1,1,-1,0,1,-1,1,-1,-1,1,-1,1,0,0,1
0,1,1,1,-1,-1,0,1,1,1,0,1,1,1,-1,1,0,1,-1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,-1,1,0,1
-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,0,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1
-1,1,1,1,-1,0,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,0,-1,1,1,1,1,-1,-1,-1,1,1,1,-1,0,1,1,1,-1,0,0,1
1,1,1,1,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,-1,0,1
1,-1,-1,-1,1,1,1,-1,-1,1,1,0,1,-1,1,-1,-1,-1,0,0,0,1,-1,0,-1,1,0,1,-1,-1,-1,1,1,1,-1,-1,-1,0,0,-1
-1,1,1,-1,-1,1,-1,1,1,-1,-1,-1,-1,0,-1,0,1,1,-1,0,-1,1,1,0,1,-1,-1,-1,1,1,0,-1,-1,-1,1,1,1,-1,0,1
1,1,1,1,-1,0,1,1,1,-1,1,1,1,-1,1,1,0,-1,-1,1,1,1,1,1,1,-1,0,-1,1,1,1,1,1,1,1,1,1,1,0,1
1,0,-1,-1,0,-1,1,-1,0,1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,0,0,-1
-1,1,1,1,-1,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,0,-1,1,0,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,0,0,1
1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,0,-1,-1,1,-1,-1,-1,1,0,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,1,0,-1,0,0,0,0,0
0,1,1,1,-1,-1,-1,-1,1,-1,0,-1,1,-1,-1,0,0,-1,-1,1,-1,1,0,1,1,-1,1,-1,1,1,1,-1,-1,1,-1,1,-1,0,0,1
-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,0,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1
0,-1,-1,-1,1,1,-1,-1,-1,0,-1,-1,-1,0,0,-1,-1,-1,1,-1,1,-1,-1,-1,-1,0,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,0,0,1
1,1,1,0,-1,1,1,1,0,-1,-1,0,1,-1,-1,-1,-1,-1,-1,0,-1,1,0,1,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,1,1,0,0,1
1,1,1,1,-1,1,1,1,1,-1,1,1,1,-1,1,-1,1,1,-1,1,-1,1,1,1,1,-1,1,-1,1,1,1,1,1,-1,1,1,1,0,0,1
-1,-1,-1,-1,1,0,-1,-1,-1,1,-1,-1,-1,1,0,-1,-1,-1,0,-1,1,-1,-1,0,-1,1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,0,-1
1,1,-1,0,1,1,-1,1,-1,-1,0,-1,-1,0,-1,1,1,1,-1,-1,1,-1,0,-1,0,-1,1,0,-1,-1,-1,-1,1,-1,1,0,1,-1,1,1
1,1,1,-1,-1,1,1,-1,0,1,1,1,-1,0,-1,-1,-1,-1,-1,1,-1,1,-1,0,0,-1,1,-1,-1,1,-1,0,1,-1,1,-1,1,0,0,1
0,1,1,1,-1,-1,-1,1,1,-1,1,1,1,1,-1,1,1,1,-1,1,0,1,1,0,1,-1,1,-1,1,-1,1,1,1,1,1,1,1,1,0,1
0,1,1,1,-1,0,0,1,1,-1,-1,0,1,-1,-1,1,1,1,-1,1,-1,-1,1,1,1,-1,1,-1,1,1,1,1,-1,-1,1,1,1,0,0,1
1,0,0,-1,1,1,1,-1,0,-1,1,1,1,1,1,-1,-1,-1,-1,0,1,1,-1,1,0,-1,1,1,1,1,-1,1,1,-1,-1,0,1,0,0,-1
-1,1,1,1,-1,-1,1,-1,0,-1,1,1,1,-1,-1,-1,1,-1,-1,1,-1,1,1,1,1,1,1,-1,0,1,1,1,1,1,1,1,-1,1,0,1
1,-1,-1,-1,1,-1,1,-1,-1,1,1,0,-1,1,0,-1,-1,-1,1,0,1,-1,-1,0,-1,-1,0,0,-1,1,-1,1,1,-1,-1,-1,-1,-1,0,-1
-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,1,0,0,-1,-1,0,-1,-1,-1,-1,1,-1,0,0,-1
0,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,1,1,-1,1,-1,1,-1,-1,-1,-1,-1,0,0,-1
-1,1,-1,1,1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,-1,1,1,1,1,-1,0,-1,0,0,-1
0,-1,1,1,0,-1,-1,1,1,1,1,1,1,1,-1,-1,1,-1,1,1,1,1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,-1,1,0,1
1,1,1,1,0,1,1,1,1,-1,1,1,1,-1,0,1,1,1,-1,1,1,1,1,0,1,-1,0,-1,0,1,1,-1,1,1,1,1,1,0,0,1
1,1,1,-1,-1,1,-1,1,1,-1,1,-1,1,0,1,-1,0,-1,-1,-1,-1,1,1,0,1,-1,0,-1,1,1,0,1,-1,1,1,-1,1,0,0,1
1,1,1,1,-1,1,1,1,0,-1,1,1,1,-1,-1,1,-1,-1,-1,1,-1,-1,0,1,1,-1,1,-1,1,1,-1,1,-1,0,1,1,1,0,0,1
